policy.doc.name,section.name,policy.statement,ostrom.statement.class,rule.category,rule.subcategory,cost.incurred.by,benefit.accrued.to
Mentor Guide,request mailing lists,mailing lists creation is a task for the infrastructure team .,choice,incubation,roles and responsibilities,Apache,podling
Mentor Guide,request mailing lists,prospective committers and mentors will need to subscribe. email them once the status file has been updated. inform any existing mailing lists or forums previously used by the project.,choice,project,infrastructure,podling,podling
Mentor Guide,request mailing lists,"once the commits list is created, the project must review the /incubator/${podling} tree, since any commits made prior to the list's creation will have generated no email trail.",choice,project,infrastructure,podling,podling
Mentor Guide,mailing list administration,apache uses ezmlm .,choice,incubation,infrastructure,Apache,Apache
Mentor Guide,mailing list transition,independent mailing lists and groups are perfectly acceptable but development should happen on the official mailing lists at apache.,information,project,project governance,podling,Apache
Mentor Guide,mailing list transition,"if a project has existing mailing lists, forums or groups the community needs to consider their future and plan for the transition to the official apache mailing lists.",choice,project,project governance,podling,Apache
Mentor Guide,mailing list transition,it may be useful to move development first to the official lists followed gradually by the user resources.,choice,project,project governance,podling,Apache
Mentor Guide,mailing list transition,"note that subscribers of external mailing lists will not be automatically subscribed to the new incubator project mailing lists. instead, a note should be posted to the old external mailing list asking them to subscribe to the new list.",information,project,communication,podling,podling
Mentor Guide,mentors must be on the ipmc,mentors must be on the ipmc.,boundary,incubation,pre-requisite,Apache,podling
Mentor Guide,mentors must be on the ipmc,this should be checked prior to beginning incubation.,choice,incubation,pre-requisite,Apache,Apache
Mentor Guide,mentors must be on the ipmc,any prospective mentors who are not yet on the ipmc should ask to be added (by election).,choice,incubation,Apache governance,Apache,Apache
Mentor Guide,mentors must be on the ipmc,email the application to private@incubator.apache.org .,information,incubation,communication,Apache,Apache
Mentor Guide,cla and ccla submission,prospective committers need to submit a contributor license agreement ( cla ).,choice,project,risk mitigation,podling,Apache
Graduation Guide,whether to graduate to subproject or to top level project,"as graduation approaches, this original preference should be reviewed based on where the project is now.",choice,project,project governance,podling,Apache
Graduation Guide,whether to graduate to subproject or to top level project,graduation as a subproject is only possible if the subproject still falls within the scope of the project and requires the consent of the project pmc .,boundary,incubation,Apache governance,podling,Apache
Graduation Guide,whether to graduate to subproject or to top level project,graduation as a project requires the formation of the new project by the board.,boundary,incubation,Apache governance,Apache,Apache
Graduation Guide,whether to graduate to subproject or to top level project,"the ipmc will also express a democratic opinion. for those seeking to graduate to a subproject this vote is to approve the transfer. for those seeking to graduation as a top level project, this will be a recommendation to the board.",aggregation,incubation,Apache governance,Apache,podling
Graduation Guide,before you graduate,"before you start thinking about graduation, you need to make sure you are ready and meet the requirements imposed on apache projects.",choice,project,project governance,podling,podling
Graduation Guide,checking the status file,"before you are able to graduate, all tasks need to be completed.",boundary,project,graduation criteria,podling,podling
Graduation Guide,checking the status file,the incubator pmc will check this file when they vote on the graduation of your project.,scope,incubation,graduation criteria,Apache,podling
Graduation Guide,checking the status file,"once all tasks are done and the listed criteria met, your project may be ready for graduation.",boundary,project,graduation criteria,podling,podling
Graduation Guide,ensure suitable project name and product names,"the ""process for ensuring suitable project and product names"" is mandatory for every podling which wants to graduate.",scope,incubation,graduation criteria,podling,Apache
Graduation Guide,creating an apache release,projects need to cut releases. apache projects need to understand how to cut apache releases.,scope,project,graduation criteria,podling,Apache
Graduation Guide,creating an apache release,"if you are going to cut a release (which is highly recommended), then please read the incubator release management guide for hints, tips and guidelines for cutting a release that will get approved by the ipmc without problems.",information,project,release management,podling,Apache
Graduation Guide,creating an open and diverse community,a major criterion for graduation is to have developed an open and diverse meritocratic community.,scope,incubation,graduation criteria,podling,podling
Graduation Guide,creating an open and diverse community,the openness of the community is not only measured by the number of contributors. open and respectful discussions on the mailing lists are vital.,scope,incubation,risk mitigation,podling,podling
Graduation Guide,creating an open and diverse community,ways to resolve technical conflict without destroying personal relationships must be learned.,scope,incubation,risk mitigation,podling,podling
Graduation Guide,creating an open and diverse community,learning to use mailing lists effectively is very important.,scope,incubation,risk mitigation,podling,podling
Graduation Guide,creating an open and diverse community,the project is considered to have a diverse community when it is not highly dependent on any single contributor (there are at least 3 legally independent committers and there is no single company or entity that is vital to the success of the project).,scope,incubation,risk mitigation,podling,podling
Graduation Guide,creating an open and diverse community,you can mitigate this requirement by admitting more external contributors to your project that have no tie to the single entity.,choice,project,risk mitigation,podling,podling
Graduation Guide,other issues,podlings who are unsure if they are ready to graduate may want to consider completing the apache project maturity model .,choice,project,project governance,podling,podling
Graduation Guide,the graduation process,graduating to a top level project top level projects are created by the board .,choice,incubation,Apache governance,Apache,Apache
Graduation Guide,the graduation process,the incubator project management committee (ipmc) can therefore only recommend to the board that the project is ready to graduate to a top level project.,choice,incubation,Apache governance,Apache,Apache
Graduation Guide,the graduation process,graduation to a top level project requires:,,,,,
Graduation Guide,the graduation process,a charter for your project,boundary,incubation,graduation criteria,podling,podling
Graduation Guide,the graduation process,a positive community graduation vote,aggregation,incubation,graduation criteria,podling,podling
Graduation Guide,the graduation process,a positive ipmc recommendation vote,aggregation,incubation,graduation criteria,Apache,podling
Graduation Guide,the graduation process,the acceptance of the resolution by the board,aggregation,incubation,graduation criteria,Apache,podling
Graduation Guide,community graduation vote,a community needs to be willing to govern itself before it can become a top level project.,boundary,project,graduation criteria,podling,podling
Graduation Guide,community graduation vote,a good way to demonstrate this is through a free vote (by the community) on the graduation proposal. this vote is not a requirement but is recommended.,choice,project,project governance,podling,podling
Graduation Guide,community graduation vote,it is unlikely that ipmc members will vote to approve graduation unless the mentors and community positively express their readiness for graduation.,choice,project,project governance,podling,Apache
Graduation Guide,preparing a charter,"so, in this case a suitable board resolution should be drawn up by the community advised by the mentors .",choice,project,graduation criteria,podling,podling
Graduation Guide,preparing a charter,committers can access the podling template for resolutions in the committers svn repository .,information,project,infrastructure,Apache,podling
Graduation Guide,preparing a charter,your whimsy roster also includes a feature to draft a resolution.,information,project,infrastructure,Apache,podling
Graduation Guide,preparing a charter,the original proposal and the status document should be consulted when creating this document.,information,project,project governance,podling,podling
Graduation Guide,preparing a charter,the board resolution is the ultimate definition of the scope of an apache project.,information,incubation,Apache governance,Apache,Apache
Graduation Guide,preparing a charter,if you read these resolutions you also see that you need to appoint a chair for your project. it is up to the ppmc to choose one person to act as the chair after graduation.,choice,project,project governance,podling,podling
Graduation Guide,the recommendation vote ,the resolution should be proposed on the general incubator list before a vote is started to allow feedback.,choice,project,project governance,Apache,podling
Graduation Guide,the recommendation vote ,"once a consensus has been reached, a vote should be started on the same general incubator list by a member of the ppmc proposing that the ipmc recommends the resolution to the board .",aggregation,project,project governance,Apache,Apache
Graduation Guide,submission of the resolution to the board,top level projects are created by a resolution by the board .,aggregation,incubation,Apache governance,Apache,Apache
Graduation Guide,submission of the resolution to the board,"once the resolution has been finalized and consensus reached, it should be submitted to the board.",choice,incubation,Apache governance,Apache,Apache
Graduation Guide,submission of the resolution to the board,"for inclusion in the agenda for the next meeting, the resolution should be submitted at least 72 hours before that meeting.",choice,incubation,Apache governance,Apache,Apache
Graduation Guide,press releases for new tlps,"once there is clear consensus that the recommendation will happen, a member of the ppmc should contact asf marketing publicity at press(at)apache(dot)org if your project is interested in a formal press release announcing your graduation.",choice,project,communication,Apache,podling
Graduation Guide,press releases for new tlps,this should be done roughly at the same time that the board resolution is sent.,choice,project,communication,,
Graduation Guide,graduating to a subproject,subprojects are accepted by a project management committee.,choice,incubation,Apache governance,Apache,podling
Graduation Guide,graduating to a subproject,the incubator project management committee needs to approve the graduation of the podling to a subproject.,aggregation,incubation,Apache governance,Apache,podling
Graduation Guide,community graduation vote,"becoming a subproject is a voluntary process, and should be accepted by the community becoming a sub-project.",aggregation,project,project governance,podling,podling
Graduation Guide,community graduation vote,"it should be clear to the ppmc and committers for the podling what the make up of the new sub-project should be, e.g. who belongs on the receiving pmc, who will be a committer.",choice,project,project governance,podling,podling
Graduation Guide,community graduation vote,this vote should happen on a public dev list.,information,project,communication,podling,Apache
Graduation Guide,subproject acceptance vote,a formal vote by the project pmc to accept the podling as a subproject is a prerequisite.,aggregation,incubation,Apache governance,Apache,Apache
Graduation Guide,graduation approval vote,"once the accepting tlp have voted to accept the podling and the podling has voted to become a subproject, noticed should be sent to the ipmc via general at incubator.a.o email list indicating that the podling will become a subproject.",information,incubation,communication,podling,podling
Graduation Guide,graduation approval vote,"if after 72 hours no issues are raised, the podling may be considered a subproject of the accepting tlp.",choice,incubation,Apache governance,podling,Apache
Graduation Guide,graduation approval vote,"likewise, if any ipmc member raises an issue, that should be discussed.",choice,incubation,Apache governance,podling,Apache
Graduation Guide,graduation approval vote,"if the issue is addressed, the member raising the issue should indicate they rescind their concerns or otherwise consider them resolved.",choice,incubation,Apache governance,Apache,Apache
Retirement Guide,deciding to retire,"in the vast majority of cases, a podling decides to retire on its own and that decision is later formally ratified by the incubator pmc; very rarely, the ipmc may act unilaterally.",choice,project,project governance,podling,podling
Retirement Guide,deciding to retire,"before the ipmc gets involved, a public discussion and community vote should be held on the podling's dev list. this ensures that all podling stakeholders are properly informed and have the opportunity to participate in the decision.",information,project,risk mitigation,podling,podling
Retirement Guide,deciding to retire,the final decision to retire the podling takes the form of a vote by the ipmc on general@incubator. the vote should be by lazy consensus.,aggregation,incubation,Apache governance,Apache,Apache
Retirement Guide,steps to retirement,"once the ipmc vote to retire the podling has closed, a mentor or other volunteer needs to perform the following steps.",choice,incubation,infrastructure,Apache,Apache
Retirement Guide,steps to retirement,update content/podlings.xml :,,,,,
Retirement Guide,steps to retirement,"update podling status to ""retired"".",,,,,
Retirement Guide,steps to retirement,"add an ""enddate"" attribute set to the date that the ipmc vote concluded.",,,,,
Retirement Guide,steps to retirement,"remove the ""reporting"" element.",,,,,
Retirement Guide,steps to retirement,"add the ""resolution"" element.",,,,,
Retirement Guide,steps to retirement,"update the podling's status page with a prominent message indicating when the podling retired: p span class=""retired"" the ${podling} podling retired on xxxx-xx-xx /span /p .",,,,,
Retirement Guide,steps to retirement,has the copyright checkbox of the podling's incubation status page been checked off?,,,,,
Retirement Guide,steps to retirement,"if not, try to resolve it. if it cannot be resolved, the podling's source code must be removed from version control.",,,,,
Retirement Guide,steps to retirement,"it may be that the podling is moving or returning development elsewhere. if so, then modify the resolution attributes appropriately.",,,,,
Retirement Guide,steps to retirement,"delete the podling's dist dir, so that its releases will no longer be mirrored: svn remove https://dist.apache.org/repos/dist/release/incubator/${podling}",,,,,
Retirement Guide,steps to retirement,create a file retired.txt at the top-level of each podling source repository.,,,,,
Retirement Guide,steps to retirement,add entries to asf-mailer.conf and send mail to cvs at incubator.apache.org,,,,,
Retirement Guide,steps to retirement,remove entries from asf-authorization - this makes the directory rw to the incubator pmc.,,,,,
Retirement Guide,steps to retirement,"after infra modifies the website svn permissions, disable the podling website by installing an .htaccess like this",,,,,
Retirement Guide,steps to retirement,file at the root of the podling website dir which consists of only a redirect to the podling status page.,,,,,
Retirement Guide,steps to retirement,"- when all steps towards retirement are done, announce completeness on general@incubator.",,,,,
Retirement Guide,steps to retirement,- indicate that the podling is closed down in the next board report.,,,,,
Retirement Guide,steps to retirement,the user accounts of the projects committers do not need to be removed.,,,,,
Release Management Guide,what goes into an asf release,a podling community should begin to familiarize themselves with the asf policies for releases.,choice,project,release management,podling,Apache
Release Management Guide,what goes into an asf release,"releases are always produced by an apache pmc, and for podlings, this pmc is the ipmc. this is why it is mandatory to have at least 3 +1 votes from ipmc members.",aggregation,incubation,Apache governance,Apache,Apache
Release Management Guide,what goes into an asf release,"usually, your mentors (who are also ipmc members) will vote on your releases, but if needed, other ipmc members will as well.",aggregation,incubation,Apache governance,Apache,Apache
Release Management Guide,what goes into an asf release,ipmc members will check for compliance with the asf policies and with incubator policies.,choice,incubation,release management,Apache,Apache
Release Management Guide,what goes into an asf release,anybody reviewing your releases will explain what they checked and what they found. they will also rate the severity of any issues. some issues may be blockers. others issues may be resolved in later releases. those voting on the release will base their votes on this information.,information,incubation,release management,Apache,Apache
Release Management Guide,requesting feedback on interim non-asf releases,"we want to welcome projects with active communities. to smooth this process, projects may need to make a few non-asf releases after incubation begins.",choice,project,project governance,Apache,podling
Release Management Guide,requesting feedback on interim non-asf releases,"a non-asf release may or may not be staged on asf infrastructure for a vote, but it is distributed via non-asf infrastructure, and is either not linked from a podling's website, or is linked but clearly marked as a non-asf release.",choice,project,release management,Apache,podling
Release Management Guide,requesting feedback on interim non-asf releases,podlings can use non-asf releases as an opportunity to find asf policy violations and begin resolving them.,choice,project,risk mitigation,Apache,podling
Release Management Guide,requesting feedback on interim non-asf releases,"podlings can request feedback by starting a ""[discuss]"" thread on general@incubator.apache.org. podlings can decide whether they prefer a ""[discuss]"" thread or a ""[vote]"" thread.",choice,project,risk mitigation,podling,podling
Release Management Guide,requesting feedback on interim non-asf releases,discussion should give podlings feedback on what they would need to do to bring their release in line with the requirements of an official asf release.,choice,project,risk mitigation,Apache,podling
Release Management Guide,requesting feedback on interim non-asf releases,podlings will be responsible for capturing feedback in work items for their project.,choice,project,roles and responsibilities,podling,podling
Release Management Guide,requesting feedback on interim non-asf releases,feedback provided in a discussion thread will not block a non-asf release.,choice,project,risk mitigation,Apache,podling
Release Management Guide,requesting feedback on interim non-asf releases,but the asf will not take on legal liability for these releases.,choice,incubation,Apache protection,podling,Apache
Release Management Guide,requesting feedback on interim non-asf releases,a podling will need to successfully make several asf releases before it can graduate from the incubator.,boundary,project,graduation criteria,podling,Apache
Release Management Guide,requesting feedback on interim non-asf releases,asking for feedback for non-asf releases is not obligatory. it is one of the services that the apache incubator offers our podling communities.,choice,project,risk mitigation,Apache,podling
Release Management Guide,podling constraints,the incubator policies applys two additional constraints to podlings for their releases.,,,,,
Release Management Guide,podling constraints,- release artifacts must include incubating in the final file name,choice,project,release management,podling,Apache
Release Management Guide,podling constraints,- release artifacts must include one of two disclaimers,choice,project,risk mitigation,Apache,podling
Release Management Guide,podling constraints,"for a podling to receive full permission from the ipmc to execute the release, the release vote must be held on the incubator general list and pass based on the standard package release voting rules.",aggregation,incubation,Apache governance,Apache,podling
Release Management Guide,podling constraints,"only incubator pmc votes are binding, but everyone is encouraged to vote.",aggregation,incubation,Apache governance,Apache,podling
Release Management Guide,podling constraints,the incubator pmc expects the source releases to be staged on https://dist.apache.org/repos/dist/dev/incubator/$podlingname so that they can easily be moved to the release location via svn mv.,choice,incubation,infrastructure,podling,Apache
Release Management Guide,choice of disclaimers,"when making a release, a podling has a choice of using one of two disclaimers, the standard disclaimer or the work in progress disclaimer.",choice,project,risk mitigation,Apache,podling
Release Management Guide,choice of disclaimers,"if it is your first release, it is recommended that you use the work in progress disclaimer. this disclaimer allows you to list any non-compliance with asf policy and ipmc members are still be able to give your release a +1 vote.",choice,project,risk mitigation,Apache,podling
Release Management Guide,choice of disclaimers,"any releases using the work in progress disclaimer must still be legal and follow the terms of any 3rd party licenses, even if they are not compatible with the apache license.",choice,project,Apache protection,podling,Apache
Release Management Guide,choice of disclaimers,"by the time you graduate all issues listed in the disclaimer need to have been corrected, and you must use the standard disclaimer text.",choice,project,graduation criteria,podling,Apache
Release Management Guide,choice of disclaimers,"if a podling chooses uses the standards disclaimer, then the release must comply with all asf policies.",choice,project,Apache protection,podling,Apache
