"new_word","sid","sid_text","tid","CodeType","Code"
"the",99,"ROOT if the nominee accepts the responsibility of being a committer for the project , the nominee formally becomes an apache committer .",2,"",""
"nominee",99,"ROOT if the nominee accepts the responsibility of being a committer for the project , the nominee formally becomes an apache committer .",3,"",""
"accepts",99,"ROOT if the nominee accepts the responsibility of being a committer for the project , the nominee formally becomes an apache committer .",4,"",""
"the",99,"ROOT if the nominee accepts the responsibility of being a committer for the project , the nominee formally becomes an apache committer .",5,"",""
"responsibility",99,"ROOT if the nominee accepts the responsibility of being a committer for the project , the nominee formally becomes an apache committer .",6,"",""
"of",99,"ROOT if the nominee accepts the responsibility of being a committer for the project , the nominee formally becomes an apache committer .",7,"",""
"being",99,"ROOT if the nominee accepts the responsibility of being a committer for the project , the nominee formally becomes an apache committer .",8,"",""
"a",99,"ROOT if the nominee accepts the responsibility of being a committer for the project , the nominee formally becomes an apache committer .",9,"",""
"committer",99,"ROOT if the nominee accepts the responsibility of being a committer for the project , the nominee formally becomes an apache committer .",10,"",""
"for",99,"ROOT if the nominee accepts the responsibility of being a committer for the project , the nominee formally becomes an apache committer .",11,"",""
"the",99,"ROOT if the nominee accepts the responsibility of being a committer for the project , the nominee formally becomes an apache committer .",12,"",""
"project",99,"ROOT if the nominee accepts the responsibility of being a committer for the project , the nominee formally becomes an apache committer .",13,"",""
"the",99,"ROOT if the nominee accepts the responsibility of being a committer for the project , the nominee formally becomes an apache committer .",15,"",""
"nominee",99,"ROOT if the nominee accepts the responsibility of being a committer for the project , the nominee formally becomes an apache committer .",16,"",""
"formally",99,"ROOT if the nominee accepts the responsibility of being a committer for the project , the nominee formally becomes an apache committer .",17,"",""
"becomes",99,"ROOT if the nominee accepts the responsibility of being a committer for the project , the nominee formally becomes an apache committer .",18,"",""
"an",99,"ROOT if the nominee accepts the responsibility of being a committer for the project , the nominee formally becomes an apache committer .",19,"",""
"apache",99,"ROOT if the nominee accepts the responsibility of being a committer for the project , the nominee formally becomes an apache committer .",20,"",""
"committer",99,"ROOT if the nominee accepts the responsibility of being a committer for the project , the nominee formally becomes an apache committer .",21,"",""
"the",100,"ROOT the proposer then asks an ipmc member ( typically one of the mentors ) to follow the documented procedures to complete the process .",1,"",""
"proposer",100,"ROOT the proposer then asks an ipmc member ( typically one of the mentors ) to follow the documented procedures to complete the process .",2,"",""
"then",100,"ROOT the proposer then asks an ipmc member ( typically one of the mentors ) to follow the documented procedures to complete the process .",3,"",""
"asks",100,"ROOT the proposer then asks an ipmc member ( typically one of the mentors ) to follow the documented procedures to complete the process .",4,"",""
"an",100,"ROOT the proposer then asks an ipmc member ( typically one of the mentors ) to follow the documented procedures to complete the process .",5,"",""
"ipmc",100,"ROOT the proposer then asks an ipmc member ( typically one of the mentors ) to follow the documented procedures to complete the process .",6,"",""
"member",100,"ROOT the proposer then asks an ipmc member ( typically one of the mentors ) to follow the documented procedures to complete the process .",7,"",""
"typically",100,"ROOT the proposer then asks an ipmc member ( typically one of the mentors ) to follow the documented procedures to complete the process .",9,"",""
"one",100,"ROOT the proposer then asks an ipmc member ( typically one of the mentors ) to follow the documented procedures to complete the process .",10,"",""
"of",100,"ROOT the proposer then asks an ipmc member ( typically one of the mentors ) to follow the documented procedures to complete the process .",11,"",""
"the",100,"ROOT the proposer then asks an ipmc member ( typically one of the mentors ) to follow the documented procedures to complete the process .",12,"",""
"mentors",100,"ROOT the proposer then asks an ipmc member ( typically one of the mentors ) to follow the documented procedures to complete the process .",13,"",""
"to",100,"ROOT the proposer then asks an ipmc member ( typically one of the mentors ) to follow the documented procedures to complete the process .",15,"",""
"follow",100,"ROOT the proposer then asks an ipmc member ( typically one of the mentors ) to follow the documented procedures to complete the process .",16,"",""
"the",100,"ROOT the proposer then asks an ipmc member ( typically one of the mentors ) to follow the documented procedures to complete the process .",17,"",""
"documented",100,"ROOT the proposer then asks an ipmc member ( typically one of the mentors ) to follow the documented procedures to complete the process .",18,"",""
"procedures",100,"ROOT the proposer then asks an ipmc member ( typically one of the mentors ) to follow the documented procedures to complete the process .",19,"",""
"to",100,"ROOT the proposer then asks an ipmc member ( typically one of the mentors ) to follow the documented procedures to complete the process .",20,"",""
"complete",100,"ROOT the proposer then asks an ipmc member ( typically one of the mentors ) to follow the documented procedures to complete the process .",21,"",""
"the",100,"ROOT the proposer then asks an ipmc member ( typically one of the mentors ) to follow the documented procedures to complete the process .",22,"",""
"process",100,"ROOT the proposer then asks an ipmc member ( typically one of the mentors ) to follow the documented procedures to complete the process .",23,"",""
"if",101,"ROOT if the nominee is already an apache committer on another project , the ipmc member can add the nominee as a committer on the podling via the whimsy podling roster .",1,"",""
"the",101,"ROOT if the nominee is already an apache committer on another project , the ipmc member can add the nominee as a committer on the podling via the whimsy podling roster .",2,"",""
"nominee",101,"ROOT if the nominee is already an apache committer on another project , the ipmc member can add the nominee as a committer on the podling via the whimsy podling roster .",3,"",""
"is",101,"ROOT if the nominee is already an apache committer on another project , the ipmc member can add the nominee as a committer on the podling via the whimsy podling roster .",4,"",""
"already",101,"ROOT if the nominee is already an apache committer on another project , the ipmc member can add the nominee as a committer on the podling via the whimsy podling roster .",5,"",""
"an",101,"ROOT if the nominee is already an apache committer on another project , the ipmc member can add the nominee as a committer on the podling via the whimsy podling roster .",6,"",""
"apache",101,"ROOT if the nominee is already an apache committer on another project , the ipmc member can add the nominee as a committer on the podling via the whimsy podling roster .",7,"",""
"committer",101,"ROOT if the nominee is already an apache committer on another project , the ipmc member can add the nominee as a committer on the podling via the whimsy podling roster .",8,"",""
"on",101,"ROOT if the nominee is already an apache committer on another project , the ipmc member can add the nominee as a committer on the podling via the whimsy podling roster .",9,"",""
"another",101,"ROOT if the nominee is already an apache committer on another project , the ipmc member can add the nominee as a committer on the podling via the whimsy podling roster .",10,"",""
"project",101,"ROOT if the nominee is already an apache committer on another project , the ipmc member can add the nominee as a committer on the podling via the whimsy podling roster .",11,"",""
"the",101,"ROOT if the nominee is already an apache committer on another project , the ipmc member can add the nominee as a committer on the podling via the whimsy podling roster .",13,"",""
"ipmc",101,"ROOT if the nominee is already an apache committer on another project , the ipmc member can add the nominee as a committer on the podling via the whimsy podling roster .",14,"",""
"member",101,"ROOT if the nominee is already an apache committer on another project , the ipmc member can add the nominee as a committer on the podling via the whimsy podling roster .",15,"",""
"can",101,"ROOT if the nominee is already an apache committer on another project , the ipmc member can add the nominee as a committer on the podling via the whimsy podling roster .",16,"",""
"add",101,"ROOT if the nominee is already an apache committer on another project , the ipmc member can add the nominee as a committer on the podling via the whimsy podling roster .",17,"",""
"the",101,"ROOT if the nominee is already an apache committer on another project , the ipmc member can add the nominee as a committer on the podling via the whimsy podling roster .",18,"",""
"nominee",101,"ROOT if the nominee is already an apache committer on another project , the ipmc member can add the nominee as a committer on the podling via the whimsy podling roster .",19,"",""
"as",101,"ROOT if the nominee is already an apache committer on another project , the ipmc member can add the nominee as a committer on the podling via the whimsy podling roster .",20,"",""
"a",101,"ROOT if the nominee is already an apache committer on another project , the ipmc member can add the nominee as a committer on the podling via the whimsy podling roster .",21,"",""
"committer",101,"ROOT if the nominee is already an apache committer on another project , the ipmc member can add the nominee as a committer on the podling via the whimsy podling roster .",22,"",""
"on",101,"ROOT if the nominee is already an apache committer on another project , the ipmc member can add the nominee as a committer on the podling via the whimsy podling roster .",23,"",""
"the",101,"ROOT if the nominee is already an apache committer on another project , the ipmc member can add the nominee as a committer on the podling via the whimsy podling roster .",24,"",""
"podling",101,"ROOT if the nominee is already an apache committer on another project , the ipmc member can add the nominee as a committer on the podling via the whimsy podling roster .",25,"",""
"via",101,"ROOT if the nominee is already an apache committer on another project , the ipmc member can add the nominee as a committer on the podling via the whimsy podling roster .",26,"",""
"the",101,"ROOT if the nominee is already an apache committer on another project , the ipmc member can add the nominee as a committer on the podling via the whimsy podling roster .",27,"",""
"whimsy",101,"ROOT if the nominee is already an apache committer on another project , the ipmc member can add the nominee as a committer on the podling via the whimsy podling roster .",28,"",""
"podling",101,"ROOT if the nominee is already an apache committer on another project , the ipmc member can add the nominee as a committer on the podling via the whimsy podling roster .",29,"",""
"roster",101,"ROOT if the nominee is already an apache committer on another project , the ipmc member can add the nominee as a committer on the podling via the whimsy podling roster .",30,"",""
"the",102,"ROOT the proposer then directs the new committer to the apache developer 's pages , to the apache incubator site and to the incubator committers guide for important additional information .",1,"",""
"proposer",102,"ROOT the proposer then directs the new committer to the apache developer 's pages , to the apache incubator site and to the incubator committers guide for important additional information .",2,"",""
"then",102,"ROOT the proposer then directs the new committer to the apache developer 's pages , to the apache incubator site and to the incubator committers guide for important additional information .",3,"",""
"directs",102,"ROOT the proposer then directs the new committer to the apache developer 's pages , to the apache incubator site and to the incubator committers guide for important additional information .",4,"",""
"the",102,"ROOT the proposer then directs the new committer to the apache developer 's pages , to the apache incubator site and to the incubator committers guide for important additional information .",5,"",""
"new",102,"ROOT the proposer then directs the new committer to the apache developer 's pages , to the apache incubator site and to the incubator committers guide for important additional information .",6,"",""
"committer",102,"ROOT the proposer then directs the new committer to the apache developer 's pages , to the apache incubator site and to the incubator committers guide for important additional information .",7,"",""
"to",102,"ROOT the proposer then directs the new committer to the apache developer 's pages , to the apache incubator site and to the incubator committers guide for important additional information .",8,"",""
"the",102,"ROOT the proposer then directs the new committer to the apache developer 's pages , to the apache incubator site and to the incubator committers guide for important additional information .",9,"",""
"apache",102,"ROOT the proposer then directs the new committer to the apache developer 's pages , to the apache incubator site and to the incubator committers guide for important additional information .",10,"",""
"developer",102,"ROOT the proposer then directs the new committer to the apache developer 's pages , to the apache incubator site and to the incubator committers guide for important additional information .",11,"",""
"'s",102,"ROOT the proposer then directs the new committer to the apache developer 's pages , to the apache incubator site and to the incubator committers guide for important additional information .",12,"",""
"pages",102,"ROOT the proposer then directs the new committer to the apache developer 's pages , to the apache incubator site and to the incubator committers guide for important additional information .",13,"",""
"to",102,"ROOT the proposer then directs the new committer to the apache developer 's pages , to the apache incubator site and to the incubator committers guide for important additional information .",15,"",""
"the",102,"ROOT the proposer then directs the new committer to the apache developer 's pages , to the apache incubator site and to the incubator committers guide for important additional information .",16,"",""
"apache",102,"ROOT the proposer then directs the new committer to the apache developer 's pages , to the apache incubator site and to the incubator committers guide for important additional information .",17,"",""
"incubator",102,"ROOT the proposer then directs the new committer to the apache developer 's pages , to the apache incubator site and to the incubator committers guide for important additional information .",18,"",""
"site",102,"ROOT the proposer then directs the new committer to the apache developer 's pages , to the apache incubator site and to the incubator committers guide for important additional information .",19,"",""
"and",102,"ROOT the proposer then directs the new committer to the apache developer 's pages , to the apache incubator site and to the incubator committers guide for important additional information .",20,"",""
"to",102,"ROOT the proposer then directs the new committer to the apache developer 's pages , to the apache incubator site and to the incubator committers guide for important additional information .",21,"",""
"the",102,"ROOT the proposer then directs the new committer to the apache developer 's pages , to the apache incubator site and to the incubator committers guide for important additional information .",22,"",""
"incubator",102,"ROOT the proposer then directs the new committer to the apache developer 's pages , to the apache incubator site and to the incubator committers guide for important additional information .",23,"",""
"committers",102,"ROOT the proposer then directs the new committer to the apache developer 's pages , to the apache incubator site and to the incubator committers guide for important additional information .",24,"",""
"guide",102,"ROOT the proposer then directs the new committer to the apache developer 's pages , to the apache incubator site and to the incubator committers guide for important additional information .",25,"",""
"for",102,"ROOT the proposer then directs the new committer to the apache developer 's pages , to the apache incubator site and to the incubator committers guide for important additional information .",26,"",""
"important",102,"ROOT the proposer then directs the new committer to the apache developer 's pages , to the apache incubator site and to the incubator committers guide for important additional information .",27,"",""
"additional",102,"ROOT the proposer then directs the new committer to the apache developer 's pages , to the apache incubator site and to the incubator committers guide for important additional information .",28,"",""
"information",102,"ROOT the proposer then directs the new committer to the apache developer 's pages , to the apache incubator site and to the incubator committers guide for important additional information .",29,"",""
"it",103,"ROOT it should be a goal of a podling to have all committers participate in the ppmc .",1,"",""
"should",103,"ROOT it should be a goal of a podling to have all committers participate in the ppmc .",2,"",""
"be",103,"ROOT it should be a goal of a podling to have all committers participate in the ppmc .",3,"",""
"a",103,"ROOT it should be a goal of a podling to have all committers participate in the ppmc .",4,"",""
"goal",103,"ROOT it should be a goal of a podling to have all committers participate in the ppmc .",5,"",""
"of",103,"ROOT it should be a goal of a podling to have all committers participate in the ppmc .",6,"",""
"a",103,"ROOT it should be a goal of a podling to have all committers participate in the ppmc .",7,"",""
"podling",103,"ROOT it should be a goal of a podling to have all committers participate in the ppmc .",8,"",""
"to",103,"ROOT it should be a goal of a podling to have all committers participate in the ppmc .",9,"",""
"have",103,"ROOT it should be a goal of a podling to have all committers participate in the ppmc .",10,"",""
"all",103,"ROOT it should be a goal of a podling to have all committers participate in the ppmc .",11,"",""
"committers",103,"ROOT it should be a goal of a podling to have all committers participate in the ppmc .",12,"",""
"participate",103,"ROOT it should be a goal of a podling to have all committers participate in the ppmc .",13,"",""
"in",103,"ROOT it should be a goal of a podling to have all committers participate in the ppmc .",14,"",""
"the",103,"ROOT it should be a goal of a podling to have all committers participate in the ppmc .",15,"",""
"ppmc",103,"ROOT it should be a goal of a podling to have all committers participate in the ppmc .",16,"",""
"the",104,"ROOT the ppmc should take an active role in watching committers develop as community participants .",1,"",""
"ppmc",104,"ROOT the ppmc should take an active role in watching committers develop as community participants .",2,"",""
"should",104,"ROOT the ppmc should take an active role in watching committers develop as community participants .",3,"",""
"take",104,"ROOT the ppmc should take an active role in watching committers develop as community participants .",4,"",""
"an",104,"ROOT the ppmc should take an active role in watching committers develop as community participants .",5,"",""
"active",104,"ROOT the ppmc should take an active role in watching committers develop as community participants .",6,"",""
"role",104,"ROOT the ppmc should take an active role in watching committers develop as community participants .",7,"",""
"in",104,"ROOT the ppmc should take an active role in watching committers develop as community participants .",8,"",""
"watching",104,"ROOT the ppmc should take an active role in watching committers develop as community participants .",9,"",""
"committers",104,"ROOT the ppmc should take an active role in watching committers develop as community participants .",10,"",""
"develop",104,"ROOT the ppmc should take an active role in watching committers develop as community participants .",11,"",""
"as",104,"ROOT the ppmc should take an active role in watching committers develop as community participants .",12,"",""
"community",104,"ROOT the ppmc should take an active role in watching committers develop as community participants .",13,"",""
"participants",104,"ROOT the ppmc should take an active role in watching committers develop as community participants .",14,"",""
"they",105,"ROOT they should identify those who are participating at a community level ( not just a technical one ) , and approach them with an offer of ppmc membership .",1,"",""
"should",105,"ROOT they should identify those who are participating at a community level ( not just a technical one ) , and approach them with an offer of ppmc membership .",2,"",""
"identify",105,"ROOT they should identify those who are participating at a community level ( not just a technical one ) , and approach them with an offer of ppmc membership .",3,"",""
"those",105,"ROOT they should identify those who are participating at a community level ( not just a technical one ) , and approach them with an offer of ppmc membership .",4,"",""
"who",105,"ROOT they should identify those who are participating at a community level ( not just a technical one ) , and approach them with an offer of ppmc membership .",5,"",""
"are",105,"ROOT they should identify those who are participating at a community level ( not just a technical one ) , and approach them with an offer of ppmc membership .",6,"",""
"participating",105,"ROOT they should identify those who are participating at a community level ( not just a technical one ) , and approach them with an offer of ppmc membership .",7,"",""
"at",105,"ROOT they should identify those who are participating at a community level ( not just a technical one ) , and approach them with an offer of ppmc membership .",8,"",""
"a",105,"ROOT they should identify those who are participating at a community level ( not just a technical one ) , and approach them with an offer of ppmc membership .",9,"",""
"community",105,"ROOT they should identify those who are participating at a community level ( not just a technical one ) , and approach them with an offer of ppmc membership .",10,"",""
"level",105,"ROOT they should identify those who are participating at a community level ( not just a technical one ) , and approach them with an offer of ppmc membership .",11,"",""
"not",105,"ROOT they should identify those who are participating at a community level ( not just a technical one ) , and approach them with an offer of ppmc membership .",13,"",""
"just",105,"ROOT they should identify those who are participating at a community level ( not just a technical one ) , and approach them with an offer of ppmc membership .",14,"",""
"a",105,"ROOT they should identify those who are participating at a community level ( not just a technical one ) , and approach them with an offer of ppmc membership .",15,"",""
"technical",105,"ROOT they should identify those who are participating at a community level ( not just a technical one ) , and approach them with an offer of ppmc membership .",16,"",""
"one",105,"ROOT they should identify those who are participating at a community level ( not just a technical one ) , and approach them with an offer of ppmc membership .",17,"",""
"and",105,"ROOT they should identify those who are participating at a community level ( not just a technical one ) , and approach them with an offer of ppmc membership .",20,"",""
"approach",105,"ROOT they should identify those who are participating at a community level ( not just a technical one ) , and approach them with an offer of ppmc membership .",21,"",""
"them",105,"ROOT they should identify those who are participating at a community level ( not just a technical one ) , and approach them with an offer of ppmc membership .",22,"",""
"with",105,"ROOT they should identify those who are participating at a community level ( not just a technical one ) , and approach them with an offer of ppmc membership .",23,"",""
"an",105,"ROOT they should identify those who are participating at a community level ( not just a technical one ) , and approach them with an offer of ppmc membership .",24,"",""
"offer",105,"ROOT they should identify those who are participating at a community level ( not just a technical one ) , and approach them with an offer of ppmc membership .",25,"",""
"of",105,"ROOT they should identify those who are participating at a community level ( not just a technical one ) , and approach them with an offer of ppmc membership .",26,"",""
"ppmc",105,"ROOT they should identify those who are participating at a community level ( not just a technical one ) , and approach them with an offer of ppmc membership .",27,"",""
"membership",105,"ROOT they should identify those who are participating at a community level ( not just a technical one ) , and approach them with an offer of ppmc membership .",28,"",""
"any",106,"ROOT any member of the ppmc can propose a new member of the ppmc .",1,"",""
"member",106,"ROOT any member of the ppmc can propose a new member of the ppmc .",2,"",""
"of",106,"ROOT any member of the ppmc can propose a new member of the ppmc .",3,"",""
"the",106,"ROOT any member of the ppmc can propose a new member of the ppmc .",4,"",""
"ppmc",106,"ROOT any member of the ppmc can propose a new member of the ppmc .",5,"",""
"can",106,"ROOT any member of the ppmc can propose a new member of the ppmc .",6,"",""
"propose",106,"ROOT any member of the ppmc can propose a new member of the ppmc .",7,"",""
"a",106,"ROOT any member of the ppmc can propose a new member of the ppmc .",8,"",""
"new",106,"ROOT any member of the ppmc can propose a new member of the ppmc .",9,"",""
"member",106,"ROOT any member of the ppmc can propose a new member of the ppmc .",10,"",""
"of",106,"ROOT any member of the ppmc can propose a new member of the ppmc .",11,"",""
"the",106,"ROOT any member of the ppmc can propose a new member of the ppmc .",12,"",""
"ppmc",106,"ROOT any member of the ppmc can propose a new member of the ppmc .",13,"",""
"the",107,"ROOT the proposal should be discussed in private on the ppmc 's private email list , with a subject line of "" [ discuss ] joe bob ppmc membership "" .",1,"",""
"proposal",107,"ROOT the proposal should be discussed in private on the ppmc 's private email list , with a subject line of "" [ discuss ] joe bob ppmc membership "" .",2,"",""
"should",107,"ROOT the proposal should be discussed in private on the ppmc 's private email list , with a subject line of "" [ discuss ] joe bob ppmc membership "" .",3,"",""
"be",107,"ROOT the proposal should be discussed in private on the ppmc 's private email list , with a subject line of "" [ discuss ] joe bob ppmc membership "" .",4,"",""
"discussed",107,"ROOT the proposal should be discussed in private on the ppmc 's private email list , with a subject line of "" [ discuss ] joe bob ppmc membership "" .",5,"",""
"in",107,"ROOT the proposal should be discussed in private on the ppmc 's private email list , with a subject line of "" [ discuss ] joe bob ppmc membership "" .",6,"",""
"private",107,"ROOT the proposal should be discussed in private on the ppmc 's private email list , with a subject line of "" [ discuss ] joe bob ppmc membership "" .",7,"",""
"on",107,"ROOT the proposal should be discussed in private on the ppmc 's private email list , with a subject line of "" [ discuss ] joe bob ppmc membership "" .",8,"",""
"the",107,"ROOT the proposal should be discussed in private on the ppmc 's private email list , with a subject line of "" [ discuss ] joe bob ppmc membership "" .",9,"",""
"ppmc",107,"ROOT the proposal should be discussed in private on the ppmc 's private email list , with a subject line of "" [ discuss ] joe bob ppmc membership "" .",10,"",""
"'s",107,"ROOT the proposal should be discussed in private on the ppmc 's private email list , with a subject line of "" [ discuss ] joe bob ppmc membership "" .",11,"",""
"private",107,"ROOT the proposal should be discussed in private on the ppmc 's private email list , with a subject line of "" [ discuss ] joe bob ppmc membership "" .",12,"",""
"email",107,"ROOT the proposal should be discussed in private on the ppmc 's private email list , with a subject line of "" [ discuss ] joe bob ppmc membership "" .",13,"",""
"list",107,"ROOT the proposal should be discussed in private on the ppmc 's private email list , with a subject line of "" [ discuss ] joe bob ppmc membership "" .",14,"",""
"with",107,"ROOT the proposal should be discussed in private on the ppmc 's private email list , with a subject line of "" [ discuss ] joe bob ppmc membership "" .",16,"",""
"a",107,"ROOT the proposal should be discussed in private on the ppmc 's private email list , with a subject line of "" [ discuss ] joe bob ppmc membership "" .",17,"",""
"subject",107,"ROOT the proposal should be discussed in private on the ppmc 's private email list , with a subject line of "" [ discuss ] joe bob ppmc membership "" .",18,"",""
"line",107,"ROOT the proposal should be discussed in private on the ppmc 's private email list , with a subject line of "" [ discuss ] joe bob ppmc membership "" .",19,"",""
"of",107,"ROOT the proposal should be discussed in private on the ppmc 's private email list , with a subject line of "" [ discuss ] joe bob ppmc membership "" .",20,"",""
"discuss",107,"ROOT the proposal should be discussed in private on the ppmc 's private email list , with a subject line of "" [ discuss ] joe bob ppmc membership "" .",23,"",""
"joe",107,"ROOT the proposal should be discussed in private on the ppmc 's private email list , with a subject line of "" [ discuss ] joe bob ppmc membership "" .",25,"",""
"bob",107,"ROOT the proposal should be discussed in private on the ppmc 's private email list , with a subject line of "" [ discuss ] joe bob ppmc membership "" .",26,"",""
"ppmc",107,"ROOT the proposal should be discussed in private on the ppmc 's private email list , with a subject line of "" [ discuss ] joe bob ppmc membership "" .",27,"",""
"membership",107,"ROOT the proposal should be discussed in private on the ppmc 's private email list , with a subject line of "" [ discuss ] joe bob ppmc membership "" .",28,"",""
"if",108,"ROOT if there is consensus that the proposed member is suitable , there should be a formal vote with the subject line of "" [ vote ] joe bob ppmc membership "" on the ppmc 's private email list .",1,"",""
"there",108,"ROOT if there is consensus that the proposed member is suitable , there should be a formal vote with the subject line of "" [ vote ] joe bob ppmc membership "" on the ppmc 's private email list .",2,"",""
"is",108,"ROOT if there is consensus that the proposed member is suitable , there should be a formal vote with the subject line of "" [ vote ] joe bob ppmc membership "" on the ppmc 's private email list .",3,"",""
"consensus",108,"ROOT if there is consensus that the proposed member is suitable , there should be a formal vote with the subject line of "" [ vote ] joe bob ppmc membership "" on the ppmc 's private email list .",4,"",""
"that",108,"ROOT if there is consensus that the proposed member is suitable , there should be a formal vote with the subject line of "" [ vote ] joe bob ppmc membership "" on the ppmc 's private email list .",5,"",""
"the",108,"ROOT if there is consensus that the proposed member is suitable , there should be a formal vote with the subject line of "" [ vote ] joe bob ppmc membership "" on the ppmc 's private email list .",6,"",""
"proposed",108,"ROOT if there is consensus that the proposed member is suitable , there should be a formal vote with the subject line of "" [ vote ] joe bob ppmc membership "" on the ppmc 's private email list .",7,"",""
"member",108,"ROOT if there is consensus that the proposed member is suitable , there should be a formal vote with the subject line of "" [ vote ] joe bob ppmc membership "" on the ppmc 's private email list .",8,"",""
"is",108,"ROOT if there is consensus that the proposed member is suitable , there should be a formal vote with the subject line of "" [ vote ] joe bob ppmc membership "" on the ppmc 's private email list .",9,"",""
"suitable",108,"ROOT if there is consensus that the proposed member is suitable , there should be a formal vote with the subject line of "" [ vote ] joe bob ppmc membership "" on the ppmc 's private email list .",10,"",""
"there",108,"ROOT if there is consensus that the proposed member is suitable , there should be a formal vote with the subject line of "" [ vote ] joe bob ppmc membership "" on the ppmc 's private email list .",12,"",""
"should",108,"ROOT if there is consensus that the proposed member is suitable , there should be a formal vote with the subject line of "" [ vote ] joe bob ppmc membership "" on the ppmc 's private email list .",13,"",""
"be",108,"ROOT if there is consensus that the proposed member is suitable , there should be a formal vote with the subject line of "" [ vote ] joe bob ppmc membership "" on the ppmc 's private email list .",14,"",""
"a",108,"ROOT if there is consensus that the proposed member is suitable , there should be a formal vote with the subject line of "" [ vote ] joe bob ppmc membership "" on the ppmc 's private email list .",15,"",""
"formal",108,"ROOT if there is consensus that the proposed member is suitable , there should be a formal vote with the subject line of "" [ vote ] joe bob ppmc membership "" on the ppmc 's private email list .",16,"",""
"vote",108,"ROOT if there is consensus that the proposed member is suitable , there should be a formal vote with the subject line of "" [ vote ] joe bob ppmc membership "" on the ppmc 's private email list .",17,"",""
"with",108,"ROOT if there is consensus that the proposed member is suitable , there should be a formal vote with the subject line of "" [ vote ] joe bob ppmc membership "" on the ppmc 's private email list .",18,"",""
"the",108,"ROOT if there is consensus that the proposed member is suitable , there should be a formal vote with the subject line of "" [ vote ] joe bob ppmc membership "" on the ppmc 's private email list .",19,"",""
"subject",108,"ROOT if there is consensus that the proposed member is suitable , there should be a formal vote with the subject line of "" [ vote ] joe bob ppmc membership "" on the ppmc 's private email list .",20,"",""
"line",108,"ROOT if there is consensus that the proposed member is suitable , there should be a formal vote with the subject line of "" [ vote ] joe bob ppmc membership "" on the ppmc 's private email list .",21,"",""
"of",108,"ROOT if there is consensus that the proposed member is suitable , there should be a formal vote with the subject line of "" [ vote ] joe bob ppmc membership "" on the ppmc 's private email list .",22,"",""
"vote",108,"ROOT if there is consensus that the proposed member is suitable , there should be a formal vote with the subject line of "" [ vote ] joe bob ppmc membership "" on the ppmc 's private email list .",25,"",""
"joe",108,"ROOT if there is consensus that the proposed member is suitable , there should be a formal vote with the subject line of "" [ vote ] joe bob ppmc membership "" on the ppmc 's private email list .",27,"",""
"bob",108,"ROOT if there is consensus that the proposed member is suitable , there should be a formal vote with the subject line of "" [ vote ] joe bob ppmc membership "" on the ppmc 's private email list .",28,"",""
"ppmc",108,"ROOT if there is consensus that the proposed member is suitable , there should be a formal vote with the subject line of "" [ vote ] joe bob ppmc membership "" on the ppmc 's private email list .",29,"",""
"membership",108,"ROOT if there is consensus that the proposed member is suitable , there should be a formal vote with the subject line of "" [ vote ] joe bob ppmc membership "" on the ppmc 's private email list .",30,"",""
"on",108,"ROOT if there is consensus that the proposed member is suitable , there should be a formal vote with the subject line of "" [ vote ] joe bob ppmc membership "" on the ppmc 's private email list .",32,"",""
"the",108,"ROOT if there is consensus that the proposed member is suitable , there should be a formal vote with the subject line of "" [ vote ] joe bob ppmc membership "" on the ppmc 's private email list .",33,"",""
"ppmc",108,"ROOT if there is consensus that the proposed member is suitable , there should be a formal vote with the subject line of "" [ vote ] joe bob ppmc membership "" on the ppmc 's private email list .",34,"",""
"'s",108,"ROOT if there is consensus that the proposed member is suitable , there should be a formal vote with the subject line of "" [ vote ] joe bob ppmc membership "" on the ppmc 's private email list .",35,"",""
"private",108,"ROOT if there is consensus that the proposed member is suitable , there should be a formal vote with the subject line of "" [ vote ] joe bob ppmc membership "" on the ppmc 's private email list .",36,"",""
"email",108,"ROOT if there is consensus that the proposed member is suitable , there should be a formal vote with the subject line of "" [ vote ] joe bob ppmc membership "" on the ppmc 's private email list .",37,"",""
"list",108,"ROOT if there is consensus that the proposed member is suitable , there should be a formal vote with the subject line of "" [ vote ] joe bob ppmc membership "" on the ppmc 's private email list .",38,"",""
"if",109,"ROOT if the vote is successful , a member of the ppmc sends a message to the ppmc private email list , with the subject line of "" [ vote ] [ result ] joe bob ppmc membership "" .",1,"",""
"the",109,"ROOT if the vote is successful , a member of the ppmc sends a message to the ppmc private email list , with the subject line of "" [ vote ] [ result ] joe bob ppmc membership "" .",2,"",""
"vote",109,"ROOT if the vote is successful , a member of the ppmc sends a message to the ppmc private email list , with the subject line of "" [ vote ] [ result ] joe bob ppmc membership "" .",3,"",""
"is",109,"ROOT if the vote is successful , a member of the ppmc sends a message to the ppmc private email list , with the subject line of "" [ vote ] [ result ] joe bob ppmc membership "" .",4,"",""
"successful",109,"ROOT if the vote is successful , a member of the ppmc sends a message to the ppmc private email list , with the subject line of "" [ vote ] [ result ] joe bob ppmc membership "" .",5,"",""
"a",109,"ROOT if the vote is successful , a member of the ppmc sends a message to the ppmc private email list , with the subject line of "" [ vote ] [ result ] joe bob ppmc membership "" .",7,"",""
"member",109,"ROOT if the vote is successful , a member of the ppmc sends a message to the ppmc private email list , with the subject line of "" [ vote ] [ result ] joe bob ppmc membership "" .",8,"",""
